id;name;surname;photo;photo_content_type;phone;premium;birth_date;add_date
1;methodology;Hat Drive;../fake-data/blob/hipster.png;image/png;(437) 929-4326;false;2022-01-21;2022-01-20
2;SSL Frozen Awesome;calculating Car;../fake-data/blob/hipster.png;image/png;1-925-553-5017 x41294;false;2022-01-21;2022-01-20
3;payment;Market mindshare withdrawal;../fake-data/blob/hipster.png;image/png;224.757.7768;false;2022-01-20;2022-01-20
4;National Sharable Frozen;Account;../fake-data/blob/hipster.png;image/png;328.315.2133 x5196;false;2022-01-20;2022-01-20
5;Sudanese real-time;reinvent Granite;../fake-data/blob/hipster.png;image/png;544-353-4824 x51818;true;2022-01-21;2022-01-21
6;parse Handcrafted;Loan;../fake-data/blob/hipster.png;image/png;(870) 805-5543;true;2022-01-20;2022-01-21
7;Usability Frozen;24/7 Ramp streamline;../fake-data/blob/hipster.png;image/png;(944) 655-8766 x36577;false;2022-01-20;2022-01-21
8;Borders navigating viral;Bedfordshire;../fake-data/blob/hipster.png;image/png;524-340-0384 x055;false;2022-01-21;2022-01-21
9;North Cyprus;SDR Danish Carolina;../fake-data/blob/hipster.png;image/png;(786) 627-6605 x00399;false;2022-01-20;2022-01-20
10;Robust technologies;Cuba SMTP Solutions;../fake-data/blob/hipster.png;image/png;(886) 246-0863;true;2022-01-20;2022-01-20
